nome,tipo,descricao
10,Administrativos,Códigos Administrativos
11,Administrativos,Presidente
12,Administrativos,Conselheiro
13,Administrativos,Secretário Geral
14,Administrativos,Diretor Administrativo
15,Administrativos,Diretor de Cursos
16,Administrativos,Diretor de Disciplina
17,Administrativos,Diretor de Patrimônio
18,Administrativos,Diretor de Pessoal
19,Administrativos,Diretor de Relações Públicas
20,Administrativos,Diretor Social
21,Administrativos,Coordenador de Informática
22,Administrativos,Auxiliar da Secretaria Geral
23,Administrativos,Auxiliar da Dir. Administrativa
24,Administrativos,Auxiliar da Dir. de Patrimônio
25,Administrativos,Auxiliar da Dir. de Pessoal
26,Administrativos,Auxiliar da Dir. Social
27,Administrativos,Auxiliar da Seção de Notas
28,Administrativos,Auxiliar da Coord. de Informática
29,Administrativos,Encarregado da Alimentação no Ritual de 1ªiniciação
30,Administrativos,Auxiliar do Encarreg. da Alimentação no Ritual de 1ªiniciação
31,Administrativos,Encarregado da Alimentação no Ritual de 2ªiniciação
32,Administrativos,Auxiliar do Encarreg. da Alimentação no Ritual de 2ªiniciação
33,Administrativos,Encarregado da Alimentação no Ritual de 3ªiniciação
34,Administrativos,Auxiliar do Encarreg. da Alimentação no Ritual de 3ªiniciação
35,Administrativos,Encarregado da Alimentação no Ritual de 4ªiniciação
36,Administrativos,Auxiliar do Encarreg. da Alimentação no Ritual de 4ªiniciação
37,Administrativos,Encarregado da Alimentação no Ritual de 5ªiniciação
38,Administrativos,Auxiliar do Encarreg. da Alimentação no Ritual de 5ªiniciação
39,Administrativos,Encarregado da Alimentação no Ritual de Sagração
40,Administrativos,Auxiliar do Encarreg. da Alimentação no Ritual de Sagração
41,Administrativos,Responsável pela Cantina
42,Administrativos,Auxiliar do Responsável pela Cantina
43,Administrativos,Guardião de Santuário
44,Administrativos,Auxiliar do guardião de Santuário
45,Administrativos,Auxiliar da equipe guardiã do Santuário
46,Administrativos,Encarregado de entrevistar candidatos ao Pré-Iniciático
60,Trabalho Curador,Códigos Trabalho Curador
61,Trabalho Curador,Coordenador de Trab. Curador de 3ª feira
62,Trabalho Curador,Coordenador de Trab. Curador de 4ª feira
63,Trabalho Curador,Coordenador de Trab. Curador de 5ª feira
64,Trabalho Curador,Coordenador de Trab. Curador de 6ª feira
65,Trabalho Curador,Auxiliar da Coord. no Trab. Curador
66,Trabalho Curador,Auxiliar da Coord. no atendimento pessoal
70,Trabalho Curador,Direção Passes Genéricos Templo Menor
71,Trabalho Curador,Auxiliar da Dir. Passes Genéricos Templo Menor
75,Trabalho Curador,Direção Passes Específicos Templo Menor
76,Trabalho Curador,Auxiliar da Dir. Passes Específicos Templo Menor
77,Trabalho Curador,Auxiliar da Coord. na Harmonização dos Pacientes
80,Trabalho Curador,Direção Trabalhos Especiais no Auditório I
81,Trabalho Curador,Auxiliar da Dir. Trabalhos Especiais no Auditório I
85,Trabalho Curador,Direção Relax
86,Trabalho Curador,Auxiliar da Dir. Relax
90,Trabalho Curador,Direção Correntes e Águas
91,Trabalho Curador,Auxiliar da Dir. Correntes e Águas
93,Trabalho Curador,Auxiliar da Coord. na Meditação em Templo Maior
95,Trabalho Curador,Operador de Trab. Esp. Entrevistas e Avaliações
96,Trabalho Curador,Operador de Trab. Esp. Cromoterapia
97,Trabalho Curador,Operador de Trab. Esp. Letargia
98,Trabalho Curador,Operador de Trab. Esp. (outros)
100,Ritos Maiores,Funções nos ritos de 1ª iniciação
101,Ritos Maiores,Sac. Ofic. do Ritual da 1ª iniciação
102,Ritos Maiores,Sac. Ac. Imediato do Ofic. do Ritual da 1ª Inic.
105,Ritos Maiores,Sac. Mestre de Cerimônias da 1ª Inic.
106,Ritos Maiores,Sac. Ac. do Mestre de Cerimôrias da 1ª Inic.
110,Ritos Maiores,Sac. Mestre de Cerimônias em Santuário da 1ª Inic.
111,Ritos Maiores,Sac. Ac. do Mestre de Cerimôrias em Santuário da 1ª Inic.
115,Ritos Maiores,Sac. Guardião do Ritual da 1ª Inic.
116,Ritos Maiores,Sac. Ac. do Guardião do Ritual da 1ª Inic.
117,Ritos Maiores,Discípulo Ac. do Sac. Guardião do Ritual da 1ª Inic.
118,Ritos Maiores,Apóstolo Ac. do Sac. Guardião do Ritual da 1ª Inic.
119,Ritos Maiores,Mestre (Companheiro ou Aprendiz) Ac. do Sac. Guardião do Ritual da 1ª Inic.
120,Ritos Maiores,Sac. Ofic. dos Ritos Preparatórios da 1ª Inic.
121,Ritos Maiores,Sac. Ac. do Ofic. dos Ritos Preparatórios da 1ª Inic.
130,Ritos Maiores,Sac. Ofic. da Rito da Preparação do Templo Maior da 1ª Inic.
131,Ritos Maiores,Sac.Ac. do Ofic. do Rito da Preparação do Templo Maior da 1ª Inic.
132,Ritos Maiores,Sac. Ofic. em TMaior no Elem. Terra da 1ª Inic.
133,Ritos Maiores,Sac. Ofic. em TMaior no Elem. Água da 1ª Inic.
134,Ritos Maiores,Sac. Ofic. em TMaior no Elem. Fogo da 1ª Inic.
135,Ritos Maiores,Sac. Ofic. em TMaior no Elem. Ar da 1ª Inic.
136,Ritos Maiores,Discípulo em ofício em TMaior no Elem. Terra da 1ª Inic.
137,Ritos Maiores,Discípulo em ofício em TMaior no Elem. Água da 1ª Inic.
138,Ritos Maiores,Discípulo em ofício em TMaior no Elem. Fogo da 1ª Inic.
139,Ritos Maiores,Discípulo em ofício em TMaior no Elem. Ar da 1ª Inic.
140,Ritos Maiores,Sac. Ofic. do Rito de Apres. e Vinc. c/os Reg. Elementais da 1ª Inic.
141,Ritos Maiores,Sac. Ac. do Ofic. do Rito de Apres. e Vinc. c/os Reg. Elementais da 1ª Inic.
142,Ritos Maiores,Discípulo (ou Sac.) em oficio no Elem. Terra da 1ª Inic.
143,Ritos Maiores,Discípulo (ou Sac.) em oficio no Elem. Água da 1ª Inic.
144,Ritos Maiores,Discípulo (ou Sac.) em oficio no Elem. Fogo da 1ª Inic.
145,Ritos Maiores,Discípulo (ou Sac.) em oficio no Elem. Ar da 1ª Inic.
146,Ritos Maiores,Aprendiz (Companheiro ou Mestre) Acólito no Elem. Terra da 1ª Inic.
147,Ritos Maiores,Aprendiz (Companheiro ou Mestre) Acólito no Elem. Água da 1ª Inic.
148,Ritos Maiores,Aprendiz (Companheiro ou Mestre) Acólito no Elem. Fogo da 1ª Inic.
149,Ritos Maiores,Aprendiz (Companheiro ou Mestre) Acólito no Elem. Ar da 1ª Inic.
150,Ritos Maiores,Sac. Ofic. do Rito da Harmonização e Purificação da 1ª Inic.
