Unnamed: 0;código tipo;Descrição tipo;código;Descrição código
;1;Administrativos;10;Códigos Administrativos
;1;Administrativos;11;Presidente
;1;Administrativos;12;Conselheiro
;1;Administrativos;13;Secretário Geral
;1;Administrativos;14;Diretor Administrativo
;1;Administrativos;15;Diretor de Cursos
;1;Administrativos;16;Diretor de Disciplina
;1;Administrativos;17;Diretor de Patrimônio
;1;Administrativos;18;Diretor de Pessoal
;1;Administrativos;19;Diretor de Relações Públicas
;1;Administrativos;20;Diretor Social
;1;Administrativos;21;Coordenador de Informática
;1;Administrativos;22;Auxiliar da Secretaria Geral
;1;Administrativos;23;Auxiliar da Dir. Administrativa
;1;Administrativos;24;Auxiliar da Dir. de Patrimônio
;1;Administrativos;25;Auxiliar da Dir. de Pessoal
;1;Administrativos;26;Auxiliar da Dir. Social
;1;Administrativos;27;Auxiliar da Seção de Notas
;1;Administrativos;28;Auxiliar da Coord. de Informática
;1;Administrativos;29;Encarregado da Alimentação no Ritual de 1ªiniciação
;1;Administrativos;30;Auxiliar do Encarreg. da Alimentação no Ritual de 1ªiniciação
;1;Administrativos;31;Encarregado da Alimentação no Ritual de 2ªiniciação
;1;Administrativos;32;Auxiliar do Encarreg. da Alimentação no Ritual de 2ªiniciação
;1;Administrativos;33;Encarregado da Alimentação no Ritual de 3ªiniciação
;1;Administrativos;34;Auxiliar do Encarreg. da Alimentação no Ritual de 3ªiniciação
;1;Administrativos;35;Encarregado da Alimentação no Ritual de 4ªiniciação
;1;Administrativos;36;Auxiliar do Encarreg. da Alimentação no Ritual de 4ªiniciação
;1;Administrativos;37;Encarregado da Alimentação no Ritual de 5ªiniciação
;1;Administrativos;38;Auxiliar do Encarreg. da Alimentação no Ritual de 5ªiniciação
;1;Administrativos;39;Encarregado da Alimentação no Ritual de Sagração
;1;Administrativos;40;Auxiliar do Encarreg. da Alimentação no Ritual de Sagração
;1;Administrativos;41;Responsável pela Cantina
;1;Administrativos;42;Auxiliar do Responsável pela Cantina
;1;Administrativos;43;Guardião de Santuário
;1;Administrativos;44;Auxiliar do guardião de Santuário
;1;Administrativos;45;Auxiliar da equipe guardiã do Santuário
;1;Administrativos;46;Encarregado de entrevistar candidatos ao Pré-Iniciático
;2;Trabalho Curador;60;Códigos Trabalho Curador
;2;Trabalho Curador;61;Coordenador de Trab. Curador de 3ª feira
;2;Trabalho Curador;62;Coordenador de Trab. Curador de 4ª feira
;2;Trabalho Curador;63;Coordenador de Trab. Curador de 5ª feira
;2;Trabalho Curador;64;Coordenador de Trab. Curador de 6ª feira
;2;Trabalho Curador;65;Auxiliar da Coord. no Trab. Curador
;2;Trabalho Curador;66;Auxiliar da Coord. no atendimento pessoal
;2;Trabalho Curador;70;Direção Passes Genéricos Templo Menor
;2;Trabalho Curador;71;Auxiliar da Dir. Passes Genéricos Templo Menor
;2;Trabalho Curador;75;Direção Passes Específicos Templo Menor
;2;Trabalho Curador;76;Auxiliar da Dir. Passes Específicos Templo Menor
;2;Trabalho Curador;77;Auxiliar da Coord. na Harmonização dos Pacientes
;2;Trabalho Curador;80;Direção Trabalhos Especiais no Auditório I
;2;Trabalho Curador;81;Auxiliar da Dir. Trabalhos Especiais no Auditório I
;2;Trabalho Curador;85;Direção Relax
